               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.034066,            0.019085,           0.0025015,              0.8689,             0.83463,             0.87575,             0.48569,            0.032297,            0.015697,           0.0069502,            0.007723,            0.007723,            0.007723
                  71,            0.034058,            0.018823,           0.0024785,             0.87078,             0.83535,             0.87708,             0.48417,            0.032299,            0.015746,            0.006909,             0.00769,             0.00769,             0.00769
                  72,            0.033966,            0.018734,           0.0025189,             0.87367,             0.83581,             0.87891,             0.48515,            0.032292,            0.015744,           0.0068016,            0.007657,            0.007657,            0.007657
                  73,            0.033964,            0.018941,           0.0025281,             0.88435,             0.82664,             0.87932,             0.48662,            0.032125,            0.015724,           0.0066671,            0.007624,            0.007624,            0.007624
                  74,            0.033687,            0.018923,           0.0024148,             0.88281,             0.82901,             0.87942,             0.48695,              0.0321,            0.015748,            0.006632,            0.007591,            0.007591,            0.007591
                  75,            0.033853,            0.019003,           0.0023878,              0.8885,             0.82719,              0.8815,             0.48865,            0.032074,            0.015719,           0.0066715,            0.007558,            0.007558,            0.007558
                  76,            0.033891,            0.018972,           0.0024455,             0.88595,             0.82839,             0.88223,             0.48784,             0.03204,             0.01573,           0.0067256,            0.007525,            0.007525,            0.007525
                  77,            0.033919,            0.018827,           0.0023518,             0.88271,             0.83334,             0.88167,             0.48708,            0.032098,            0.015727,           0.0067714,            0.007492,            0.007492,            0.007492
                  78,            0.033953,            0.018744,           0.0024245,             0.87621,             0.84188,             0.88134,             0.48788,            0.032099,            0.015687,           0.0068686,            0.007459,            0.007459,            0.007459
                  79,            0.033611,            0.018625,           0.0022724,             0.87644,             0.84006,             0.88041,             0.48915,            0.032101,            0.015658,           0.0069973,            0.007426,            0.007426,            0.007426
                  80,            0.033628,            0.018787,           0.0023639,              0.8793,             0.83848,             0.88186,             0.49033,            0.032074,             0.01563,           0.0069844,            0.007393,            0.007393,            0.007393
                  81,            0.033592,            0.018884,           0.0023109,             0.87747,             0.84036,             0.88225,             0.49093,            0.032046,            0.015629,           0.0071204,             0.00736,             0.00736,             0.00736
                  82,            0.033601,            0.018667,           0.0023647,             0.87827,             0.83888,             0.88155,             0.48915,            0.032086,            0.015649,           0.0071108,            0.007327,            0.007327,            0.007327
                  83,            0.033659,            0.018631,           0.0024208,             0.88555,             0.83127,              0.8816,              0.4904,            0.032033,            0.015641,           0.0069937,            0.007294,            0.007294,            0.007294
                  84,            0.033512,             0.01865,           0.0023488,              0.8841,             0.83513,             0.88117,             0.49071,            0.032004,            0.015634,           0.0069915,            0.007261,            0.007261,            0.007261
                  85,            0.033318,             0.01845,           0.0023131,             0.88545,             0.83127,             0.88176,             0.49143,            0.031964,            0.015627,           0.0069414,            0.007228,            0.007228,            0.007228
                  86,             0.03342,            0.018562,           0.0023054,             0.88277,             0.83586,             0.88234,              0.4918,            0.031892,            0.015611,           0.0069468,            0.007195,            0.007195,            0.007195
                  87,            0.033313,            0.018623,           0.0022668,             0.88135,             0.83616,             0.88274,             0.49294,            0.031847,            0.015591,           0.0069374,            0.007162,            0.007162,            0.007162
                  88,            0.033379,            0.018426,           0.0022589,             0.87067,             0.84464,             0.88222,             0.49327,            0.031808,            0.015596,           0.0069421,            0.007129,            0.007129,            0.007129
                  89,            0.033434,            0.018556,           0.0023088,              0.8778,             0.83949,             0.88326,             0.49333,            0.031816,              0.0156,           0.0069311,            0.007096,            0.007096,            0.007096
                  90,            0.033341,            0.018621,           0.0023133,             0.88179,             0.83602,              0.8828,             0.49392,            0.031817,            0.015598,           0.0069265,            0.007063,            0.007063,            0.007063
                  91,            0.033233,             0.01875,           0.0022561,             0.87794,             0.84185,             0.88266,             0.49378,            0.031818,            0.015593,           0.0068799,             0.00703,             0.00703,             0.00703
                  92,            0.033195,             0.01845,           0.0022204,             0.87614,             0.84505,             0.88388,              0.4945,            0.031816,            0.015589,            0.006908,            0.006997,            0.006997,            0.006997
                  93,            0.033046,            0.018599,           0.0022615,             0.87943,             0.84425,             0.88395,             0.49351,            0.031829,            0.015593,           0.0069371,            0.006964,            0.006964,            0.006964
                  94,            0.032958,            0.018387,           0.0022238,             0.87933,             0.84468,              0.8831,             0.49357,            0.031803,            0.015583,           0.0069599,            0.006931,            0.006931,            0.006931
                  95,            0.033108,            0.018463,           0.0021546,             0.87407,              0.8489,             0.88348,             0.49378,            0.031822,            0.015589,           0.0069765,            0.006898,            0.006898,            0.006898
                  96,            0.033017,            0.018392,           0.0021988,             0.88464,             0.83917,             0.88337,              0.4939,            0.031823,            0.015582,           0.0069965,            0.006865,            0.006865,            0.006865
                  97,            0.033202,            0.018457,           0.0022344,              0.8819,             0.84214,             0.88357,             0.49419,            0.031823,            0.015582,           0.0069719,            0.006832,            0.006832,            0.006832
                  98,            0.033029,            0.018515,           0.0022095,             0.88267,             0.84242,             0.88238,             0.49458,            0.031801,            0.015572,           0.0069881,            0.006799,            0.006799,            0.006799
                  99,            0.032991,            0.018369,            0.002148,             0.88179,             0.83961,             0.88148,             0.49515,            0.031791,            0.015564,           0.0070092,            0.006766,            0.006766,            0.006766
                 100,            0.032856,            0.018472,           0.0021531,             0.87931,              0.8403,             0.88146,             0.49475,            0.031802,            0.015563,           0.0070164,            0.006733,            0.006733,            0.006733
                 101,            0.032753,            0.018356,           0.0021435,             0.87712,             0.84311,             0.88184,             0.49481,            0.031806,            0.015563,            0.007033,              0.0067,              0.0067,              0.0067
                 102,            0.032888,            0.018364,           0.0022038,             0.87683,             0.84246,             0.88168,             0.49567,            0.031798,            0.015556,           0.0070578,            0.006667,            0.006667,            0.006667
                 103,            0.032896,            0.018466,           0.0022202,              0.8798,             0.83821,             0.88198,             0.49585,            0.031787,            0.015552,           0.0070599,            0.006634,            0.006634,            0.006634
                 104,            0.032858,            0.018649,           0.0020941,             0.88169,              0.8377,             0.88164,             0.49609,            0.031788,            0.015547,           0.0070704,            0.006601,            0.006601,            0.006601
                 105,            0.032695,            0.018223,           0.0021574,             0.88025,             0.83935,             0.88188,             0.49661,            0.031765,            0.015544,           0.0070672,            0.006568,            0.006568,            0.006568
