               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.035925,            0.020012,           0.0031698,             0.87899,             0.79953,             0.86187,             0.44998,            0.033351,            0.017034,           0.0066039,            0.007954,            0.007954,            0.007954
                  64,            0.036052,            0.019901,           0.0031939,             0.87994,             0.79889,             0.86185,             0.45032,            0.033347,            0.017027,           0.0066002,            0.007921,            0.007921,            0.007921
                  65,            0.036023,            0.019855,           0.0032879,             0.87893,              0.8002,             0.86174,             0.45006,            0.033343,            0.017018,           0.0065909,            0.007888,            0.007888,            0.007888
                  66,            0.035882,            0.019994,           0.0032245,             0.87701,             0.80413,             0.86232,             0.45042,            0.033333,            0.017011,           0.0065838,            0.007855,            0.007855,            0.007855
                  67,            0.036013,            0.019778,           0.0031877,             0.87761,             0.80386,              0.8621,             0.45076,            0.033331,            0.017006,           0.0066012,            0.007822,            0.007822,            0.007822
                  68,            0.035799,             0.01988,           0.0031229,             0.87799,              0.8033,             0.86218,             0.45079,            0.033326,               0.017,           0.0065954,            0.007789,            0.007789,            0.007789
                  69,            0.035884,            0.019785,           0.0031617,             0.87804,             0.80496,             0.86214,             0.45083,            0.033325,               0.017,           0.0066074,            0.007756,            0.007756,            0.007756
                  70,            0.035655,            0.019781,           0.0031656,             0.87843,             0.80362,             0.86219,             0.45066,            0.033323,            0.016999,           0.0066047,            0.007723,            0.007723,            0.007723
                  71,            0.035564,            0.019889,           0.0030986,              0.8781,             0.80401,             0.86203,             0.45048,            0.033325,            0.016998,           0.0066084,             0.00769,             0.00769,             0.00769
                  72,            0.035605,            0.019585,           0.0031289,             0.87546,             0.80521,              0.8619,             0.45049,            0.033323,            0.016996,           0.0066146,            0.007657,            0.007657,            0.007657
                  73,            0.035585,            0.019718,           0.0031632,             0.88323,             0.80129,              0.8623,             0.45076,            0.033312,            0.016992,           0.0066172,            0.007624,            0.007624,            0.007624
                  74,            0.035454,            0.019736,           0.0030842,             0.87794,             0.80455,             0.86234,             0.45085,            0.033305,            0.016992,           0.0066229,            0.007591,            0.007591,            0.007591
                  75,            0.035657,             0.01982,           0.0031507,             0.87748,             0.80442,             0.86226,             0.45105,            0.033299,            0.016987,           0.0066244,            0.007558,            0.007558,            0.007558
                  76,            0.035396,            0.019776,           0.0029867,             0.87867,             0.80457,             0.86214,             0.45133,            0.033296,            0.016985,           0.0066336,            0.007525,            0.007525,            0.007525
                  77,            0.035456,            0.019837,           0.0029763,             0.87889,             0.80434,              0.8622,             0.45163,            0.033285,            0.016983,           0.0066484,            0.007492,            0.007492,            0.007492
                  78,            0.035511,            0.019606,           0.0030016,             0.87804,             0.80458,             0.86239,             0.45155,            0.033284,            0.016982,           0.0066533,            0.007459,            0.007459,            0.007459
                  79,            0.035079,            0.019318,           0.0028996,             0.87903,             0.80404,             0.86254,             0.45156,            0.033281,            0.016979,           0.0066567,            0.007426,            0.007426,            0.007426
                  80,            0.035281,            0.019667,           0.0029001,             0.87817,             0.80376,             0.86183,             0.45173,            0.033278,            0.016975,           0.0066663,            0.007393,            0.007393,            0.007393
                  81,            0.035142,            0.019655,           0.0028721,             0.87736,             0.80489,             0.86212,             0.45193,            0.033275,            0.016976,           0.0066752,             0.00736,             0.00736,             0.00736
                  82,            0.035455,            0.019671,           0.0029862,             0.87506,             0.80662,             0.86208,             0.45237,            0.033272,            0.016974,           0.0066788,            0.007327,            0.007327,            0.007327
                  83,            0.035315,            0.019429,           0.0029662,             0.87427,             0.80822,             0.86319,              0.4527,            0.033274,            0.016973,           0.0066892,            0.007294,            0.007294,            0.007294
                  84,            0.035242,            0.019449,           0.0030507,             0.87668,             0.80704,             0.86372,             0.45289,            0.033275,            0.016971,           0.0066939,            0.007261,            0.007261,            0.007261
                  85,            0.035067,            0.019403,           0.0029171,             0.87583,             0.80786,             0.86377,             0.45289,            0.033279,            0.016967,           0.0067023,            0.007228,            0.007228,            0.007228
                  86,            0.035141,            0.019398,           0.0029434,             0.87464,             0.80897,             0.86358,             0.45345,            0.033276,            0.016961,           0.0067051,            0.007195,            0.007195,            0.007195
                  87,            0.035166,            0.019575,           0.0028861,             0.87389,             0.81006,             0.86406,              0.4534,            0.033274,            0.016956,           0.0067112,            0.007162,            0.007162,            0.007162
                  88,            0.034981,            0.019331,            0.002852,             0.87249,             0.81203,             0.86428,             0.45337,            0.033271,            0.016953,           0.0067224,            0.007129,            0.007129,            0.007129
                  89,            0.035071,             0.01934,            0.002991,             0.87161,             0.81391,             0.86427,             0.45373,            0.033274,            0.016949,           0.0067296,            0.007096,            0.007096,            0.007096
                  90,            0.035136,            0.019578,           0.0028127,             0.87184,             0.81384,             0.86423,             0.45385,            0.033277,            0.016948,           0.0067408,            0.007063,            0.007063,            0.007063
                  91,            0.034992,            0.019497,           0.0029207,             0.87416,             0.81096,             0.86459,             0.45446,            0.033276,            0.016945,           0.0067411,             0.00703,             0.00703,             0.00703
                  92,            0.035027,            0.019376,           0.0028915,             0.87616,             0.80949,             0.86524,             0.45459,            0.033272,            0.016942,           0.0067454,            0.006997,            0.006997,            0.006997
                  93,            0.034817,            0.019365,            0.002852,             0.87627,             0.81021,             0.86472,             0.45429,            0.033271,            0.016937,           0.0067416,            0.006964,            0.006964,            0.006964
                  94,            0.034834,            0.019316,           0.0027486,             0.87576,             0.81008,             0.86461,             0.45432,            0.033267,            0.016937,           0.0067428,            0.006931,            0.006931,            0.006931
                  95,            0.034613,             0.01931,           0.0027844,             0.87659,             0.81052,             0.86447,             0.45415,            0.033262,            0.016934,           0.0067491,            0.006898,            0.006898,            0.006898
                  96,            0.034735,            0.019118,           0.0027774,             0.87652,             0.80936,             0.86441,             0.45418,            0.033252,            0.016933,           0.0067528,            0.006865,            0.006865,            0.006865
                  97,            0.034911,             0.01904,           0.0027344,             0.87649,             0.80955,             0.86492,              0.4547,            0.033246,            0.016932,           0.0067654,            0.006832,            0.006832,            0.006832
                  98,            0.034739,             0.01941,           0.0027905,             0.87671,              0.8103,             0.86529,              0.4548,            0.033233,             0.01693,           0.0067776,            0.006799,            0.006799,            0.006799
                  99,            0.034607,            0.019124,           0.0027995,             0.87852,             0.81036,             0.86548,             0.45493,            0.033225,            0.016928,           0.0067847,            0.006766,            0.006766,            0.006766
                 100,            0.034646,             0.01921,           0.0028404,             0.87571,             0.81336,             0.86565,             0.45525,            0.033222,            0.016926,            0.006781,            0.006733,            0.006733,            0.006733
                 101,            0.034487,            0.019334,           0.0028058,             0.87635,             0.81481,             0.86573,             0.45524,            0.033223,            0.016927,           0.0067884,              0.0067,              0.0067,              0.0067
                 102,            0.034485,            0.019223,            0.002728,             0.87856,              0.8127,              0.8658,             0.45479,            0.033227,            0.016925,           0.0067885,            0.006667,            0.006667,            0.006667
                 103,            0.034633,            0.019358,           0.0027065,             0.87881,             0.81255,             0.86661,             0.45512,            0.033225,            0.016927,           0.0067913,            0.006634,            0.006634,            0.006634
                 104,            0.034526,             0.01944,           0.0026945,             0.87874,             0.81486,             0.86598,             0.45492,             0.03323,            0.016927,           0.0067942,            0.006601,            0.006601,            0.006601
                 105,            0.034462,            0.019083,           0.0027298,             0.88035,             0.81408,             0.86644,             0.45504,            0.033232,            0.016926,           0.0068034,            0.006568,            0.006568,            0.006568
                 106,            0.034498,            0.019076,           0.0027153,             0.88078,             0.81377,             0.86621,               0.455,            0.033236,            0.016924,           0.0067984,            0.006535,            0.006535,            0.006535
                 107,            0.034454,             0.01933,           0.0026317,             0.88362,             0.81179,             0.86652,             0.45474,            0.033246,            0.016926,           0.0068082,            0.006502,            0.006502,            0.006502
                 108,            0.034461,            0.019262,           0.0026882,             0.88203,              0.8142,             0.86655,             0.45504,            0.033249,            0.016926,           0.0068122,            0.006469,            0.006469,            0.006469
                 109,             0.03467,            0.019076,           0.0028108,             0.88199,             0.81481,             0.86674,             0.45543,            0.033245,            0.016924,           0.0068147,            0.006436,            0.006436,            0.006436
                 110,            0.034564,            0.019312,           0.0027415,             0.88257,              0.8133,             0.86594,              0.4551,            0.033241,             0.01692,           0.0068163,            0.006403,            0.006403,            0.006403
                 111,            0.034329,            0.019185,           0.0026056,             0.88414,             0.81222,              0.8667,             0.45542,            0.033246,            0.016922,           0.0068173,             0.00637,             0.00637,             0.00637
                 112,            0.034125,            0.018903,           0.0025328,              0.8841,             0.81249,             0.86646,             0.45563,             0.03325,            0.016921,           0.0068172,            0.006337,            0.006337,            0.006337
                 113,            0.034408,            0.019129,             0.00258,              0.8827,             0.81236,              0.8663,             0.45565,            0.033251,            0.016921,           0.0068214,            0.006304,            0.006304,            0.006304
                 114,            0.034328,            0.018963,           0.0025732,             0.88326,             0.81198,             0.86614,             0.45572,            0.033254,            0.016917,           0.0068319,            0.006271,            0.006271,            0.006271
                 115,            0.034517,            0.019146,           0.0026497,             0.88403,             0.81313,             0.86641,             0.45591,            0.033245,             0.01691,           0.0068345,            0.006238,            0.006238,            0.006238
                 116,            0.034218,            0.019065,            0.002621,             0.88344,             0.81204,             0.86661,             0.45584,            0.033246,            0.016912,           0.0068373,            0.006205,            0.006205,            0.006205
                 117,             0.03415,             0.01917,           0.0026386,             0.88438,             0.81199,             0.86663,             0.45611,            0.033241,            0.016909,           0.0068402,            0.006172,            0.006172,            0.006172
                 118,            0.034048,            0.019062,           0.0024931,             0.88514,             0.81199,             0.86672,             0.45655,             0.03324,            0.016909,           0.0068372,            0.006139,            0.006139,            0.006139
                 119,            0.034181,            0.018983,           0.0025961,             0.88496,             0.81173,             0.86624,             0.45659,            0.033234,            0.016904,           0.0068363,            0.006106,            0.006106,            0.006106
                 120,              0.0341,            0.018999,           0.0026359,             0.88657,             0.81148,             0.86633,             0.45723,            0.033227,            0.016899,           0.0068275,            0.006073,            0.006073,            0.006073
                 121,            0.033958,            0.019021,           0.0025445,             0.88608,             0.81102,             0.86595,             0.45699,            0.033233,            0.016899,            0.006834,             0.00604,             0.00604,             0.00604
                 122,            0.034119,            0.019035,           0.0024977,             0.88512,              0.8112,              0.8658,             0.45749,            0.033229,            0.016893,           0.0068409,            0.006007,            0.006007,            0.006007
                 123,            0.033962,            0.018869,           0.0024847,             0.88537,             0.81122,             0.86644,             0.45754,            0.033234,            0.016894,           0.0068453,            0.005974,            0.005974,            0.005974
                 124,            0.034102,            0.018954,           0.0026368,             0.88531,             0.81057,             0.86601,             0.45765,            0.033234,            0.016894,           0.0068469,            0.005941,            0.005941,            0.005941
                 125,            0.033737,             0.01889,            0.002493,             0.88466,             0.81075,              0.8664,             0.45737,            0.033235,            0.016891,           0.0068593,            0.005908,            0.005908,            0.005908
                 126,            0.033909,            0.018928,           0.0025075,             0.88538,             0.81079,             0.86676,             0.45769,            0.033232,            0.016889,           0.0068645,            0.005875,            0.005875,            0.005875
                 127,            0.033922,            0.018674,           0.0024483,             0.88492,             0.81167,             0.86703,             0.45769,            0.033235,            0.016886,           0.0068647,            0.005842,            0.005842,            0.005842
                 128,            0.033896,            0.018905,           0.0024552,             0.88256,             0.81374,             0.86692,              0.4578,            0.033238,            0.016882,           0.0068635,            0.005809,            0.005809,            0.005809
                 129,            0.033993,            0.019107,           0.0026095,             0.88201,             0.81383,             0.86667,             0.45792,            0.033235,             0.01688,           0.0068681,            0.005776,            0.005776,            0.005776
                 130,            0.033826,            0.018592,           0.0025264,             0.88159,             0.81392,             0.86653,             0.45789,            0.033235,            0.016879,           0.0068727,            0.005743,            0.005743,            0.005743
                 131,            0.033923,            0.018975,           0.0025505,             0.88232,             0.81211,              0.8663,             0.45791,            0.033235,            0.016877,            0.006886,             0.00571,             0.00571,             0.00571
                 132,            0.033901,            0.018927,           0.0024838,             0.88222,             0.81088,             0.86615,             0.45801,            0.033236,            0.016876,           0.0068994,            0.005677,            0.005677,            0.005677
                 133,            0.033925,            0.018764,            0.002354,             0.88384,             0.81015,              0.8661,             0.45802,            0.033231,            0.016874,           0.0069246,            0.005644,            0.005644,            0.005644
                 134,            0.033952,            0.019085,           0.0024121,             0.88438,             0.80844,             0.86625,             0.45778,            0.033229,             0.01687,           0.0069502,            0.005611,            0.005611,            0.005611
                 135,            0.033771,            0.018981,           0.0025323,             0.88485,             0.80784,             0.86592,              0.4574,            0.033223,            0.016867,           0.0069646,            0.005578,            0.005578,            0.005578
                 136,            0.033764,            0.019176,           0.0025012,             0.88383,             0.81003,              0.8661,             0.45753,            0.033219,            0.016866,           0.0069823,            0.005545,            0.005545,            0.005545
                 137,            0.033549,            0.018651,           0.0023453,             0.88366,             0.81011,             0.86591,              0.4577,            0.033219,            0.016862,           0.0070046,            0.005512,            0.005512,            0.005512
                 138,            0.033414,            0.018734,           0.0023647,             0.87717,              0.8159,             0.86589,             0.45799,            0.033215,            0.016859,           0.0070121,            0.005479,            0.005479,            0.005479
                 139,            0.033577,            0.018676,           0.0023468,             0.87615,             0.81684,             0.86569,             0.45801,            0.033219,            0.016859,           0.0070176,            0.005446,            0.005446,            0.005446
                 140,            0.033648,             0.01861,           0.0024085,             0.87498,             0.81804,              0.8665,             0.45795,            0.033214,            0.016856,           0.0070259,            0.005413,            0.005413,            0.005413
                 141,            0.033629,            0.018851,           0.0024226,             0.87493,             0.81852,             0.86679,             0.45809,            0.033209,            0.016852,           0.0070205,             0.00538,             0.00538,             0.00538
                 142,            0.033557,             0.01873,           0.0024006,             0.87458,             0.81914,             0.86676,             0.45821,            0.033199,            0.016848,           0.0070239,            0.005347,            0.005347,            0.005347
                 143,            0.033349,            0.018682,            0.002349,             0.87474,              0.8191,             0.86678,             0.45868,            0.033195,            0.016844,           0.0070241,            0.005314,            0.005314,            0.005314
                 144,            0.033433,             0.01857,           0.0023057,             0.87462,              0.8192,             0.86714,             0.45894,            0.033191,            0.016842,           0.0070203,            0.005281,            0.005281,            0.005281
                 145,            0.033248,            0.018567,            0.002323,             0.87506,             0.81907,             0.86706,             0.45871,            0.033186,            0.016837,           0.0070047,            0.005248,            0.005248,            0.005248
                 146,            0.033359,            0.018627,           0.0022864,             0.87461,             0.81912,              0.8671,             0.45861,            0.033179,            0.016831,           0.0069889,            0.005215,            0.005215,            0.005215
                 147,              0.0333,            0.018734,           0.0023484,             0.87564,             0.81775,             0.86663,             0.45855,             0.03318,            0.016827,           0.0069816,            0.005182,            0.005182,            0.005182
                 148,             0.03317,            0.018523,           0.0023273,             0.87668,              0.8164,             0.86668,              0.4585,            0.033175,            0.016823,           0.0069791,            0.005149,            0.005149,            0.005149
                 149,            0.033059,            0.018536,           0.0023171,             0.87601,             0.81749,             0.86628,             0.45868,            0.033176,             0.01682,           0.0069757,            0.005116,            0.005116,            0.005116
                 150,             0.03326,            0.018509,           0.0023182,              0.8772,             0.81719,              0.8663,              0.4591,            0.033179,            0.016816,           0.0069573,            0.005083,            0.005083,            0.005083
                 151,            0.033407,            0.018354,           0.0022814,              0.8762,             0.81732,             0.86609,             0.45925,             0.03318,            0.016813,            0.006952,             0.00505,             0.00505,             0.00505
                 152,            0.033278,            0.018602,           0.0022075,             0.87769,             0.81655,             0.86614,             0.45965,             0.03318,            0.016808,           0.0069501,            0.005017,            0.005017,            0.005017
                 153,            0.033248,            0.018522,           0.0023141,              0.8776,             0.81621,             0.86611,             0.45943,            0.033181,            0.016803,           0.0069553,            0.004984,            0.004984,            0.004984
                 154,            0.033308,            0.018714,           0.0023637,             0.87826,             0.81612,             0.86591,             0.45973,            0.033172,            0.016797,           0.0069421,            0.004951,            0.004951,            0.004951
                 155,            0.033132,            0.018538,           0.0021707,              0.8781,             0.81645,             0.86611,                0.46,            0.033167,            0.016794,           0.0069338,            0.004918,            0.004918,            0.004918
                 156,            0.032884,            0.018289,           0.0021827,             0.87726,             0.81702,             0.86655,             0.46003,            0.033163,            0.016793,           0.0069288,            0.004885,            0.004885,            0.004885
                 157,            0.033293,            0.018422,           0.0022163,              0.8774,             0.81712,             0.86667,             0.46044,             0.03316,            0.016791,           0.0069353,            0.004852,            0.004852,            0.004852
                 158,            0.033013,            0.018321,           0.0022512,             0.87731,             0.81824,             0.86725,             0.46079,            0.033161,            0.016792,           0.0069376,            0.004819,            0.004819,            0.004819
                 159,            0.033011,            0.018234,            0.002253,              0.8772,             0.81847,             0.86702,             0.46038,            0.033161,            0.016788,           0.0069431,            0.004786,            0.004786,            0.004786
                 160,            0.033112,             0.01858,           0.0022378,             0.87684,             0.81823,             0.86699,             0.46049,            0.033153,            0.016789,           0.0069559,            0.004753,            0.004753,            0.004753
                 161,            0.033226,            0.018829,             0.00215,             0.87841,             0.81751,             0.86694,             0.46034,            0.033142,            0.016786,           0.0069563,             0.00472,             0.00472,             0.00472
